date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:44	4488/4488	---M-Z	200	added ('OK')	text/html	etag:%22581705-1188-365a1459a1d80%22	https://www.nyu.edu/classes/stephens/Wishes%20page.htm	www.nyu.edu/classes/stephens/Wishes%20page.html	(from https://www.nyu.edu/classes/stephens/Radio%20page.htm)
11:49:45	3856/3856	---M-Z	200	added ('OK')	text/html	etag:%225816cb-f10-365a142ae6f40%22	https://www.nyu.edu/classes/stephens/Model%20T%20Stage.htm	www.nyu.edu/classes/stephens/Model%20T%20Stage.html	(from https://www.nyu.edu/classes/stephens/Radio%20page.htm)
11:49:46	4374/4374	---M-Z	200	added ('OK')	text/html	etag:%22581695-1116-365a13dacb240%22	https://www.nyu.edu/classes/stephens/Golden%20Age%20page.htm	www.nyu.edu/classes/stephens/Golden%20Age%20page.html	(from https://www.nyu.edu/classes/stephens/Radio%20page.htm)
11:49:48	296302/296302	---M--	200	added ('OK')	image/jpeg	etag:%224856e-365a13c2f3a00%22	https://www.nyu.edu/classes/stephens/Chronicle%201.jpg	www.nyu.edu/classes/stephens/Chronicle%201.jpg	(from https://www.nyu.edu/classes/stephens/Digital%20Wizards%20page.htm)
11:49:50	149027/149027	---M--	200	added ('OK')	image/jpeg	etag:%2224623-365a13fd20340%22	https://www.nyu.edu/classes/stephens/JQ%201.jpg	www.nyu.edu/classes/stephens/JQ%201.jpg	(from https://www.nyu.edu/classes/stephens/JQ%20page.htm)
11:49:50	336478/336478	---M--	200	added ('OK')	image/jpeg	etag:%225225e-365a13c3e7c40%22	https://www.nyu.edu/classes/stephens/Chronicle%202.jpg	www.nyu.edu/classes/stephens/Chronicle%202.jpg	(from https://www.nyu.edu/classes/stephens/Digital%20Wizards%20page.htm)
11:49:52	448319/448319	---M--	200	added ('OK')	image/jpeg	etag:%226d73f-365a13ff087c0%22	https://www.nyu.edu/classes/stephens/JQ%202.jpg	www.nyu.edu/classes/stephens/JQ%202.jpg	(from https://www.nyu.edu/classes/stephens/JQ%20page.htm)
11:49:52	2875/2875	---M-Z	200	added ('OK')	text/html	etag:%22581721-b3b-365a146f91140%22	https://www.nyu.edu/classes/stephens/rise%20of%20image%20-%20Contents.htm	www.nyu.edu/classes/stephens/rise%20of%20image%20-%20Contents.html	(from https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20page.htm)
11:49:53	5775/5775	---M-Z	200	added ('OK')	text/html	etag:%22581729-168f-365a147ddf300%22	https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20-%20preface.htm	www.nyu.edu/classes/stephens/rise%20of%20the%20image%20-%20preface.html	(from https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20page.htm)
11:49:54	408488/408488	---M--	200	added ('OK')	image/jpeg	etag:%2263ba8-365a1401e4e80%22	https://www.nyu.edu/classes/stephens/JQ%203.jpg	www.nyu.edu/classes/stephens/JQ%203.jpg	(from https://www.nyu.edu/classes/stephens/JQ%20page.htm)
11:49:54	27983/27983	---M-Z	200	added ('OK')	text/html	etag:%22581723-6d4f-365a147361a40%22	https://www.nyu.edu/classes/stephens/rise%20of%20image%20-%20Intro.htm	www.nyu.edu/classes/stephens/rise%20of%20image%20-%20Intro.html	(from https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20page.htm)
11:49:56	23981/23981	---M--	200	added ('OK')	image/jpeg	etag:%225dad-365a13e083fc0%22	https://www.nyu.edu/classes/stephens/HON%20Penguin.jpg	www.nyu.edu/classes/stephens/HON%20Penguin.jpg	(from https://www.nyu.edu/classes/stephens/History%20of%20News%20Page.htm)
11:49:57	154593/154593	---M--	200	added ('OK')	image/jpeg	etag:%2225be1-365a147bf6e80%22	https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20-%20jacket%20copy.jpg	www.nyu.edu/classes/stephens/rise%20of%20the%20image%20-%20jacket%20copy.jpg	(from https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20page.htm)
11:49:58	18176/18176	---M--	200	added ('OK')	image/jpeg	etag:%224700-365a13e178200%22	https://www.nyu.edu/classes/stephens/HON%20Viking.jpg	www.nyu.edu/classes/stephens/HON%20Viking.jpg	(from https://www.nyu.edu/classes/stephens/History%20of%20News%20Page.htm)
11:49:59	19591/19591	---M--	200	added ('OK')	image/jpeg	etag:%224c87-365a13de9bb40%22	https://www.nyu.edu/classes/stephens/HON%20Brazil.jpg	www.nyu.edu/classes/stephens/HON%20Brazil.jpg	(from https://www.nyu.edu/classes/stephens/History%20of%20News%20Page.htm)
11:49:59	19413/19413	---M--	200	added ('OK')	image/jpeg	etag:%224bd5-365a13e548b00%22	https://www.nyu.edu/classes/stephens/HON%20japanese.jpg	www.nyu.edu/classes/stephens/HON%20japanese.jpg	(from https://www.nyu.edu/classes/stephens/History%20of%20News%20Page.htm)
11:50:00	18364/18364	---M--	200	added ('OK')	image/jpeg	etag:%2247bc-365a13df8fd80%22	https://www.nyu.edu/classes/stephens/HON%20Korean.jpg	www.nyu.edu/classes/stephens/HON%20Korean.jpg	(from https://www.nyu.edu/classes/stephens/History%20of%20News%20Page.htm)
11:50:02	53422/53422	---M-Z	404	error ('Not%20Found')	text/html	etag:%22da5c4e-d0ae-59a01ad52d8b1%22	https://www.nyu.edu/classes/stephens/Derrida%20-%20NYT.htm	www.nyu.edu/classes/stephens/Derrida%20-%20NYT.htm	(from https://www.nyu.edu/classes/stephens/Jacques%20Derrida%20-%20NYT%20-%20page.htm)
11:50:02	95187/95187	---M--	200	added ('OK')	image/jpeg	etag:%22173d3-365a13dda7900%22	https://www.nyu.edu/classes/stephens/HON%20-%20noted%20with%20pleasure.jpg	www.nyu.edu/classes/stephens/HON%20-%20noted%20with%20pleasure.jpg	(from https://www.nyu.edu/classes/stephens/History%20of%20News%20Page.htm)
11:50:04	36124/36124	---M--	200	added ('OK')	image/jpeg	etag:%228d1c-365a13be2eec0%22	https://www.nyu.edu/classes/stephens/Broadcast%20News.jpg	www.nyu.edu/classes/stephens/Broadcast%20News.jpg	(from https://www.nyu.edu/classes/stephens/Broadcast%20News%20page.htm)
11:50:04	9698/9698	---M--	200	added ('OK')	image/jpeg	etag:%2225e2-365a13ba5e5c0%22	https://www.nyu.edu/classes/stephens/Broadcast%20News%20II.jpg	www.nyu.edu/classes/stephens/Broadcast%20News%20II.jpg	(from https://www.nyu.edu/classes/stephens/Broadcast%20News%20page.htm)
11:50:05	13436/13436	---M--	200	added ('OK')	image/jpeg	etag:%22347c-365a13b96a380%22	https://www.nyu.edu/classes/stephens/Broadcast%20News%20I.jpg	www.nyu.edu/classes/stephens/Broadcast%20News%20I.jpg	(from https://www.nyu.edu/classes/stephens/Broadcast%20News%20page.htm)
11:50:07	29467/29467	---M--	200	added ('OK')	image/jpeg	etag:%22731b-365a145c7e440%22	https://www.nyu.edu/classes/stephens/Writing%20&%20Reporting.jpg	www.nyu.edu/classes/stephens/Writing%20&%20Reporting.jpg	(from https://www.nyu.edu/classes/stephens/W%20&%20R%20page.htm)
11:50:08	16376/16376	---M--	200	added ('OK')	image/jpeg	etag:%223ff8-365a145b8a200%22	https://www.nyu.edu/classes/stephens/Writing%20&%20Reporting%20I.jpg	www.nyu.edu/classes/stephens/Writing%20&%20Reporting%20I.jpg	(from https://www.nyu.edu/classes/stephens/W%20&%20R%20page.htm)
11:50:09	77354/77354	---M-Z	200	added ('OK')	text/html	etag:%225816f6-12e2a-365a144e30280%22	https://www.nyu.edu/classes/stephens/Top%20100%20nominations%20page.htm	www.nyu.edu/classes/stephens/Top%20100%20nominations%20page.html	(from https://www.nyu.edu/classes/stephens/Top%20100%20page.htm)
